"data","disparo","cidade","bairro","cod_bairro","local","outras_regioes","fonte","fonte2","tipo_operacao","media_fonte","media_link","presenca_civil","presenca_pmerj","presenca_uniao"
"23/02/2018",0,"Rio de Janeiro","Senador Camará",142,"Vila Aliança","Coreia","SAER","Twitter","ND","Folha de São Paulo","https://www1.folha.uol.com.br/cotidiano/2018/02/forcas-armadas-fazem-operacao-em-tres-favelas-do-rio.shtml","SAER",,
"26/02/2018",0,"Rio de Janeiro","Lins de Vasconcelos",62,,,"GAM",,"ND",,,,"GAM",
"26/02/2018",0,"Rio de Janeiro","Vigário Geral",48,"Furquim Mendes",,"SAER",,"ND",,,"SAER",,
"26/02/2018",0,"Rio de Janeiro","Vila Kennedy",162,,,"Twitter",,"ND",,,,,
"27/02/2018",0,"Rio de Janeiro","Senador Camará",142,"Vila Aliança","Coreia","Twitter",,"ND","UOL","https://noticias.uol.com.br/cotidiano/ultimas-noticias/2018/02/27/com-helicoptero-e-tanques-exercito-faz-nova-operacao-na-zona-oeste-do-rio.htm",,,
"28/02/2018",1,"Rio de Janeiro","Maré",157,"Conjunto Esperança","Vila Do João;Vila Do Pinheiro;Conjunto Pinheiro;Salsa e Merengue","Nudedh","Facebook","Mandados","O Globo","https://oglobo.globo.com/rio/moradores-relatam-intenso-tiroteio-no-complexo-da-mare-nesta-quarta-feira-22441304","SAER;CORE;DRF;DRFC",,
"02/03/2018",0,"Rio de Janeiro","Vicente de Carvalho",73,"Serrinha","Madureira","GAM",,"ND",,,,"GAM",
"02/03/2018",0,"São Gonçalo","Jardim Catarina",,"Jardim Catarina",,"SAER","Twitter","ND","O Globo","https://oglobo.globo.com/rio/forcas-de-seguranca-fazem-operacao-em-sao-goncalo-na-regiao-metropolitana-do-rio-22449059","SAER;CORE",,"EXÉRCITO"
"06/03/2018",0,"Niterói","Preventório",,,,"SAER",,"ND",,,"SAER",,
"07/03/2018",0,"Seropédica",,,,,"SAER",,"ND",,,"SAER",,
"08/03/2018",0,"Seropédica",,,,,"SAER",,"ND",,,"SAER",,
"09/03/2018",0,"Rio de Janeiro","Senador Camará",142,"Vila Aliança",,"GAM",,"ND",,,,"GAM",
"12/03/2018",0,"Rio de Janeiro","Praça Seca",124,"Covanca",,"GAM",,"ND",,,,"GAM",
"13/03/2018",0,"Rio de Janeiro","Praça Seca",124,"Bateau Mouche",,"GAM",,"ND",,,,"GAM",
"15/03/2018",0,"Rio de Janeiro","Praça Seca",124,"Covanca",,"GAM",,"ND",,,,"GAM",
"15/03/2018",0,"Niterói",,,,,"GAM",,"ND",,,,"GAM",
"16/03/2018",0,"Itaguaí",,,,,"SAER",,"ND",,,,,
"16/03/2018",0,"ND",,,,,"Twitter",,"ND",,,,,
"17/03/2018",0,"Rio de Janeiro","Complexo do Alemão",156,"Fazendinha",,"GAM",,"ND",,,,"GAM",
"17/03/2018",0,"Niterói",,,,,"SAER",,"ND",,,"SAER",,
"17/03/2018",0,"Rio de Janeiro","Rocinha",154,,,"Twitter",,"ND",,,,"GAM",
"18/03/2018",0,"Rio de Janeiro","Rio Comprido",7,,"Catumbi","Twitter",,"ND",,,"SAER",,
"18/03/2018",0,"Rio de Janeiro","Praça Seca",124,,,"Twitter",,"ND",,,,,
"21/03/2018",0,"Rio de Janeiro","Cidade de Deus",118,,,"Twitter",,"ND",,,,,
"21/03/2018",0,"Niterói","Largo da Batalha",,"Comunidade da Igrejinha",,"SAER","Twitter","ND","O Fluminense","http://www.ofluminense.com.br/pt-br/pol%C3%ADcia/policia-civil-faz-opera%C3%A7%C3%A3o-em-niter%C3%B3i","SAER;CORE",,
"23/03/2018",0,"São Gonçalo",,,"Padre João Maria",,"SAER",,"ND",,,"SAER",,
"24/03/2018",0,"Rio de Janeiro","Rocinha",154,"Rocinha",,"GAM",,"ND",,,,"GAM",
"26/03/2018",0,"Rio de Janeiro","Praça Seca",124,"Bateau Mouche","Caixa D'agua","GAM",,"ND",,,,"GAM",
"27/03/2018",0,"Rio de Janeiro","Galeão",104,"Vila Joaniza",,"GAM",,"ND",,,,"GAM",
"27/03/2018",0,"Rio de Janeiro","Lins de Vasconcelos",62,,,"SAER","Twitter","ND",,,"SAER;CORE",,
"28/03/2018",0,"Belford Roxo","Guacha do Redentor",,,,"Twitter",,"ND",,,,"GAM",
"29/03/2018",0,"Queimados","Comunidade do Guau",,,,"GAM",,"ND",,,,"GAM",
"30/03/2018",0,"Rio de Janeiro","Costa Barros",113,"Pedreira",,"LeiSecaRJ",,"ND",,,,"GAM",
"30/03/2018",0,"São Gonçalo","Gradim",,,"Paraíso","Twitter",,"ND",,,,,
"02/04/2018",0,"Rio de Janeiro","Recreio dos Bandeirantes",132,"Grumari",,"SAER",,"ND",,,"SAER",,
"06/04/2018",0,"Rio de Janeiro","Vidigal",30,,,"GAM",,"ND",,,,"GAM",
"06/04/2018",0,"Rio de Janeiro","Rio Comprido",7,"Morro do Fogueteiro",,"SAER","Twitter","ND","O Globo","https://oglobo.globo.com/rio/policia-tenta-cumprir-50-mandados-de-prisao-em-morros-da-regiao-central-do-rio-22563459","SAER;CORE",,
"07/04/2018",0,"Angra dos Reis",,,"Clube Med",,"SAER",,"ND",,,"SAER",,
"08/04/2018",0,"Rio de Janeiro","Jacarezinho",155,"Cidade da Polícia",,"SAER",,"ND",,,"SAER",,
"08/04/2018",0,"Angra dos Reis",,,"Ilha Grande",,"SAER",,"ND",,,"SAER",,
"12/04/2018",0,"São Gonçalo",,,,,"GAM",,"ND",,,,"GAM",
"13/04/2018",0,"Queimados",,,,,"SAER",,"ND",,,"SAER","GAM",
"14/04/2018",0,"Niterói","Favela da Grota",,,,"GAM",,"ND",,,,"GAM",
"17/04/2018",0,"Rio de Janeiro","Rocinha",154,"Rua 1","Vila Verde;599","SAER","Twitter","ND","O Globo","https://oglobo.globo.com/rio/moradores-relatam-tiros-explosoes-na-rocinha-na-manha-desta-terca-feira-22599621","SAER;CORE",,
"20/04/2018",0,"Rio de Janeiro","Santa Cruz",149,,,"SAER",,"ND",,,,,
"25/04/2018",0,"Rio de Janeiro","Santa Cruz",149,,,"SAER","G1","Mandados",,,"SAER",,
"25/04/2018",0,"Niterói","Camaramujo",,,,"GAM",,"ND",,,,"GAM",
"27/04/2018",0,"Rio de Janeiro","Méier",63,,,"GAM",,"ND",,,,"GAM",
"27/04/2018",0,"Rio de Janeiro","Senador Camará",142,"Vila Aliança",,"SAER","Twitter","ND",,,"SAER;DCOD",,
"28/04/2018",0,"Rio de Janeiro","Jacarepaguá",115,"Freguesia",,"GAM",,"ND",,,,,
"29/04/2018",0,"Magé","Lagoa",27,,,"GAM",,"ND",,,,,
"01/05/2018",0,"Rio de Janeiro","Rocinha",154,,,"GAM",,"ND",,,,"GAM",
"03/05/2018",0,"Rio de Janeiro","Lins de Vasconcelos",62,"Favela da Cotia",,"GAM",,"ND",,,,"GAM",
"03/05/2018",0,"Rio de Janeiro","Cidade de Deus",118,,,"GAM",,"ND",,,,"GAM",
"03/05/2018",0,"Itaboraí",,,,,"SAER",,"ND",,,"SAER",,
"03/05/2018",0,"São Gonçalo",,,"Recanto das Acácias","Torres","Twitter",,"ND","O São Gonçalo","https://www.osaogoncalo.com.br/seguranca-publica/60299/tres-homens-sao-baleados-durante-operacao-da-pm-no-complexo-do-salgueiro",,,
"05/05/2018",1,"ND",,,,,"Twitter",,"ND",,,,,
"06/05/2018",0,"Rio Bonito",,,,,"SAER",,"ND",,,"SAER",,
"08/05/2018",0,"Rio de Janeiro","Rio Comprido",7,"São Carlos",,"SAER",,"ND",,,"SAER",,
"09/05/2018",1,"Rio de Janeiro","Rocinha",154,,,"GAM","PCERJ","Combate a facções","G1","http://g1.globo.com/rio-de-janeiro/videos/v/moradores-registram-troca-de-tiros-na-rocinha-nesta-quarta-09/6723890/","SAER;CORE","GAM",
"09/05/2018",0,"Rio de Janeiro","Jacarepaguá",115,"Teixeira",,"GAM",,"ND",,,,"GAM",
"09/05/2018",0,"Rio de Janeiro","Vigário Geral",48,"Furquim Mendes",,"SAER",,"ND","Gazeta","https://www.gazetadigital.com.br/editorias/brasil/forcas-armadas-fazem-operacao-em-rodovias-e-comunidades-do-rj/539306","SAER;CORE",,
"10/05/2018",0,"Rio de Janeiro","Água Santa",67,"Morro do Dezoito",,"SAER",,"ND",,,"SAER",,
"12/05/2018",0,"Rio de Janeiro","Taquara",122,"Comunidade dos Teixeiras",,"GAM",,"ND",,,,"GAM",
"12/05/2018",0,"Rio de Janeiro","Cosmos",147,,,"SAER","Twitter","ND",,,"SAER;CORE;BHBF",,
"12/05/2018",0,"Rio de Janeiro",,"ND",,,"Twitter",,"ND",,,,,
"14/05/2018",0,"Rio de Janeiro","Santa Teresa",14,"Fallet",,"GAM",,"ND",,,,"GAM",
"14/05/2018",0,"Rio de Janeiro","Água Santa",67,"Morro do Dezoito",,"Twitter",,"ND","CBN","http://cbn.globoradio.globo.com/media/audio/182475/policial-da-core-e-baleado-em-operacao-no-morro-do.htm","SAER;CORE",,
"15/05/2018",1,"Rio de Janeiro","Cavalcanti",80,"Morro da Primavera",,"OTT-RJ",,"Combate a facções",,,,,
"15/05/2018",0,"Rio de Janeiro","Água Santa",67,"Morro do Dezoito",,"SAER",,"ND",,,"SAER",,
"16/05/2018",0,"Niterói","Jurujuba",,,,"GAM","PCERJ","ND",,,"SAER","GAM",
"18/05/2018",0,"Rio de Janeiro","Praça Seca",124,"São José Operário",,"Twitter",,"Combate a facções",,,"SAER","GAM","EXERCITO"
"18/05/2018",0,"Rio de Janeiro","Ilha de Guaratiba",151,,,"SAER",,"ND",,,"SAER",,
"18/05/2018",0,"Magé",,,"Magé",,"SAER","Facebook","ND",,,"SAER;DDSD",,
"18/05/2018",0,"Rio de Janeiro","Quintino Bocaiúva",79,"Morro do Fubá",,"SAER","Twitter","ND",,,,,
"19/05/2018",0,"Rio de Janeiro","Cidade de Deus",118,,,"GAM",,"ND",,,,,
"19/05/2018",0,"Rio de Janeiro","Lins de Vasconcelos",62,,,"GAM",,"ND",,,,,
"19/05/2018",0,"Rio de Janeiro","Praça Seca",124,,,"Twitter",,"ND",,,,,
"20/05/2018",0,"Itaboraí","Venda Velha",,,"BNH","GAM",,"ND",,,,"GAM",
"21/05/2018",0,"Rio de Janeiro","Engenho de Dentro",66,"Camarista Méier",,"GAM",,"ND",,,,"GAM",
"22/05/2018",0,"Rio de Janeiro","Cidade de Deus",118,,,"Twitter",,"ND",,,,,
"23/05/2018",0,"Rio de Janeiro","Rocinha",154,,,"SAER",,"ND",,,"SAER",,
"24/05/2018",0,"Itaboraí",,,,,"SAER",,"ND",,,"SAER",,
"24/05/2018",0,"Itaguaí",,,,,"SAER",,"ND",,,"SAER",,
"25/05/2018",0,"Niterói","Jardim Catarina",,,,"GAM",,"ND",,,,,
"25/05/2018",0,"Itaguaí",,,,,"SAER",,"ND",,,"SAER",,
"26/05/2018",0,"Rio de Janeiro","Jacarepaguá",115,"Teixeira",,"SAER",,"ND",,,"SAER",,
"27/05/2018",0,"Rio de Janeiro","Rocinha",154,,,"GAM",,"ND",,,,"GAM",
"01/06/2018",0,"Rio de Janeiro","Santa Teresa",14,"Fallet",,"GAM",,"ND",,,,"GAM",
"01/06/2018",0,"Rio de Janeiro","Centro",5,"Providência",,"GAM",,"ND",,,,"GAM",
"01/06/2018",0,"Duque de Caxias",,,,,"SAER",,"ND",,,"SAER",,
"02/06/2018",0,"Niterói","Itaipu",,,,"SAER",,"ND",,,"SAER",,
"02/06/2018",0,"Rio de Janeiro","Lagoa",27,,,"SAER",,"ND",,,"SAER",,
"03/06/2018",0,"Rio de Janeiro","Ipanema",25,,,"SAER",,"ND",,,"SAER",,
"03/06/2018",0,"Mangaratiba",,,,,"SAER",,"ND",,,"SAER",,
"04/06/2018",0,"Mangaratiba",,,,,"SAER",,"ND",,,,,
"05/06/2018",0,"Rio de Janeiro","Botafogo",20,"Morro Babilonia",,"GAM",,"ND",,,,"GAM",
"05/06/2018",0,"Mangaratiba",,,,,"SAER",,"ND",,,,,
"05/06/2018",0,"ND",,,,,"Twitter",,"ND",,,,,
"06/06/2018",0,"Queimados",,,,,"SAER",,"ND",,,"SAER",,
"06/06/2018",0,"Rio de Janeiro",,"ND",,,"Twitter",,"ND",,,,,
"07/06/2018",0,"Rio de Janeiro","Lins de Vasconcelos",62,,,"GAM",,"ND",,,,"GAM",
"07/06/2018",0,"Rio de Janeiro","Cidade de Deus",118,"Gardênia Azul","Outeiro;Vila Do Sapê;Parque Dois Irmãos;Morro Da Helena","SAER",,"ND","R7","https://noticias.r7.com/rio-de-janeiro/operacao-das-forcas-armadas-tem-um-morto-e-dez-presos-no-rio-07062018",,,
"07/06/2018",0,"Itaguaí","Mangaratiba",,"Marambaia",,"SAER",,"ND",,,"SAER",,
"07/06/2018",0,"Rio de Janeiro","Bonsucesso",40,,,"SAER",,"ND",,,"SAER",,
"08/06/2018",0,"Rio de Janeiro","Botafogo",20,"Morro da Babilônia",,"GAM",,"ND",,,,"GAM",
"08/06/2018",0,"Rio de Janeiro","Baía de Sepetiba","ND",,,"SAER",,"ND","O Dia","https://odia.ig.com.br/rio-de-janeiro/2018/06/5547470-naufragio-de-dois-barcos-deixa-mortos-na-baia-de-sepetiba.html#foto=1","SAER;CORE",,"MARINHA"
"08/06/2018",0,"Rio de Janeiro","Copacabana",24,"Babilônia",,"SAER",,"ND","G1","https://g1.globo.com/rj/rio-de-janeiro/noticia/urca-e-no-leme-na-zona-sul-do-rio-tem-intensos-tiroteios.ghtml","SAER;CORE",,
"09/06/2018",0,"Rio de Janeiro","Rocinha",154,,,"SAER","Twitter","ND","O Globo","https://oglobo.globo.com/rio/primeira-operacao-das-forcas-armadas-na-rocinha-apos-intervencao-federal-tem-16-presos-22762274","SAER;CORE",,
"10/06/2018",0,"Duque de Caxias",,,,,"SAER",,"ND",,,,,
"10/06/2018",0,"Rio de Janeiro",,"ND",,,"Twitter",,"ND",,,,,
"11/06/2018",1,"Rio de Janeiro","Maré",157,"Nova Holanda","Parque União;Rubens Vaz","Fogo Cruzado","Twitter","Diligência","Rio On Watch","https://rioonwatch.org.br/?p=33873","SAER;CORE",,
"12/06/2018",0,"Rio de Janeiro","Acari",111,"Fim do Mundo","Guaiuba","Fogo Cruzado",,"ND",,,"SAER;CORE",,
"12/06/2018",0,"Rio de Janeiro","Tijuca",33,"Borel",,"LeiSecaRJ",,"ND",,,,,
"12/06/2018",0,"Rio de Janeiro","Costa Barros",113,"Pedreira",,"SAER",,"ND",,,"SAER",,
"12/06/2018",0,"São João de Meriti",,,,,"Twitter",,"ND",,,,,
"13/06/2018",0,"Rio de Janeiro","Jardim Sulacap",137,"Jardim da Saudade","Cemitério","SAER","O Globo","Cenográfica","SBT","https://twitter.com/sbtrio/status/1006995495536021505","SAER;CORE",,
"13/06/2018",1,"Rio de Janeiro","Acari",111,"Fim do Mundo",,"SAER","Twitter","Vingança","R7","https://noticias.r7.com/rio-de-janeiro/pm-faz-operacao-em-acari-um-dia-apos-morte-de-policial-civil-13062018","SAER","GAM",
"15/06/2018",1,"Rio de Janeiro","Costa Barros",113,"Morro da Pedreira","Acari","Fogo Cruzado","Twitter","Vingança","O Globo","https://oglobo.globo.com/rio/policia-civil-faz-operacao-na-comunidade-de-acari-na-zona-norte-22783183","SAER;CORE",,
"18/06/2018",0,"Duque de Caxias","Complexo da Mangueirinha",,"Favela do Lixão",,"SAER",,"ND","O Globo","https://oglobo.globo.com/rio/policia-civil-faz-operacao-em-duque-de-caxias-procura-de-assassinos-de-pm-22792636","SAER;CORE",,
"19/06/2018",0,"Rio de Janeiro","Estácio",9,"Morro da Coroa","São Carlos;Fallet","GAM",,"ND",,,,"GAM",
"19/06/2018",0,"Rio de Janeiro","Rio Comprido",7,"Chácara",,"SAER",,"ND",,,,,
"19/06/2018",0,"Rio de Janeiro","Botafogo",20,"Dona Marta",,"Twitter",,"ND",,,,,
"20/06/2018",1,"Rio de Janeiro","Maré",157,"Vila dos Pinheiros",,"SAER","Redes da Maré","Vingança","Folha de São Paulo","https://www1.folha.uol.com.br/cotidiano/2018/06/adolescente-de-14-anos-e-baleado-e-6-morrem-em-operacao-policial-no-rio.shtml","SAER;CORE;DCOD",,"EXERCITO;FORÇA NACIONAL"
"21/06/2018",0,"Rio de Janeiro","Vidigal",30,"Morro do Vidigal",,"SAER","Twitter","ND",,,,,
"23/06/2018",0,"Rio de Janeiro","Botafogo",20,"Morro da Babilônia",,"GAM",,"ND",,,,"GAM",
"25/06/2018",0,"Rio de Janeiro","Santo Cristo",3,"Morro do Pinto",,"GAM",,"ND",,,,"GAM",
"25/06/2018",0,"Rio de Janeiro","Maré",157,,,"SAER",,"ND",,,,"GAM",
"26/06/2018",0,"Rio de Janeiro","Lins de Vasconcelos",62,,,"GAM","Facebook","ND",,,,"GAM",
"26/06/2018",0,"Rio de Janeiro","Engenho Novo",61,"Morro do São João",,"GAM",,"ND",,,,"GAM",
"27/06/2018",0,"Rio de Janeiro","Quintino Bocaiúva",79,"Quintino",,"Facebook",,"ND",,,,,
"27/06/2018",0,"Rio de Janeiro","Maré",157,,,"SAER",,"ND",,,"SAER;CORE",,
"28/06/2018",0,"Rio de Janeiro","Vila Isabel",36,"Morro dos Macacos",,"GAM",,"ND",,,,"GAM",
"28/06/2018",1,"Rio de Janeiro","Lins de Vasconcelos",62,"Marcilio Dias","Gambá;Árvore Seca, Cahoeirinha","SAER","Twitter","Vingança","O Globo","https://oglobo.globo.com/rio/moradores-do-complexo-do-lins-denunciam-caveirao-aereo-atirando-de-cima-para-baixo-22830390?utm_source=Twitter&utm_medium=Social&utm_campaign=","SAER;CORE;DH",,
"29/06/2018",0,"Rio de Janeiro","Estácio",9,"Morro do São Carlos",,"GAM",,"ND",,,,"GAM",
"29/06/2018",0,"Rio de Janeiro","Quintino Bocaiúva",79,,,"SAER",,"ND",,,"SAER",,
"02/07/2018",0,"Duque de Caxias","Magé",,,,"SAER",,"ND",,,"SAER",,
"02/07/2018",0,"Rio de Janeiro",,"ND",,,"SAER",,"ND",,,"SAER",,
"03/07/2018",0,"Rio de Janeiro","Lins de Vasconcelos",62,,,"SAER","Twitter","ND","R7","https://noticias.r7.com/rio-de-janeiro/policia-civil-realiza-operacao-no-complexo-do-lins-03072018","SAER;CORE",,
"04/07/2018",0,"Cabo Frio",,,,,"SAER",,"ND",,,,,
"04/07/2018",0,"Rio de Janeiro","Praça Seca",124,,,"Twitter",,"ND",,,,,
"05/07/2018",0,"Rio de Janeiro","Tanque",123,"Comunidade do Jordão",,"GAM",,"ND",,,,"GAM",
"05/07/2018",0,"Rio de Janeiro",,"ND",,,"Twitter",,"ND",,,,,
"06/07/2018",0,"Rio de Janeiro","Maré",157,"Parque União","Nova Holanda","GAM",,"ND",,,,"GAM",
"06/07/2018",0,"Rio de Janeiro","Madureira",83,"Serrinha",,"SAER",,"ND",,,,,
"08/07/2018",0,"Rio de Janeiro","Santa Cruz",149,,,"GAM",,"ND",,,,"GAM",
"08/07/2018",0,"Duque de Caxias","Xerém",,,,"SAER",,"ND",,,,,
"09/07/2018",0,"Rio de Janeiro","Jacarepaguá",115,,,"GAM",,"ND",,,,"GAM",
"09/07/2018",0,"Rio de Janeiro","Méier",63,,,"GAM",,"ND",,,,"GAM",
"11/07/2018",0,"Rio de Janeiro","Estácio",9,"São Carlos",,"GAM",,"ND",,,,"GAM",
"11/07/2018",0,"Rio de Janeiro","Tijuca",33,"Chácara do Céu","Borel;Casa Branca","Twitter",,"ND",,,,,
"12/07/2018",0,"Rio de Janeiro","Complexo do Alemão",156,"Morro do Adeus",,"SAER","Twitter","ND",,,"SAER;CORE",,
"12/07/2018",0,"São Gonçalo",,,,,"Twitter",,"ND",,,,,
"13/07/2018",1,"São Gonçalo",,,"Barreira",,"Twitter",,"Combate a facções",,,,,
"13/07/2018",0,"Itaboraí",,,,,"GAM",,"ND",,,,"GAM",
"13/07/2018",0,"Rio de Janeiro","Jardim Carioca",100,"Complexo do Dendê",,"SAER","Facebook","ND",,,"SAER",,"PF"
"16/07/2018",0,"Rio de Janeiro","Complexo do Alemão",156,"Fazendinha","Nova Brasília","GAM","Twitter","ND",,,,"GAM",
"17/07/2018",0,"Niterói","Comunidade do Caramujo",,,,"GAM",,"ND",,,,"GAM",
"17/07/2018",0,"Rio de Janeiro","Méier",63,,,"GAM",,"ND",,,,"GAM",
"18/07/2018",0,"Maricá",,,,,"GAM",,"ND",,,,"GAM",
"19/07/2018",0,"Rio de Janeiro","Complexo do Alemão",156,,,"GAM",,"ND",,,,"GAM",
"19/07/2018",0,"Rio de Janeiro",,"ND",,,"Twitter",,"ND",,,,,
"20/07/2018",0,"Duque de Caxias","Olavo Bilac",,"Comunidade do Sapo",,"GAM",,"ND",,,,"GAM",
"20/07/2018",0,"Japeri","Engenheiro Pedreira",,"Parque Gandu",,"GAM",,"ND",,,,,
"22/07/2018",0,"Rio de Janeiro","Estácio",9,"Complexo do São Carlos",,"GAM",,"ND",,,,"GAM",
"23/07/2018",0,"Queimados",,,,,"GAM",,"ND",,,,"GAM",
"25/07/2018",0,"Rio de Janeiro","Guadalupe",106,"Muquiço",,"GAM",,"ND",,,,"GAM",
"25/07/2018",0,"Rio de Janeiro","Rocinha",154,,,"GAM",,"ND",,,,"GAM",
"26/07/2018",0,"Itaguaí",,,,,"GAM",,"ND",,,,"GAM",
"26/07/2018",0,"Rio de Janeiro","Rocinha",154,,,"GAM",,"ND",,,,,
"27/07/2018",0,"Rio de Janeiro","Pilares",71,"Moro do Urubu",,"GAM",,"ND",,,,"GAM",
"27/07/2018",0,"Japeri","Engenheiro Pedreira",,"Parque Gandu",,"SAER","G1","ND",,,"SAER;CORE",,
"29/07/2018",0,"Rio de Janeiro","Manguinhos",39,"Mandela","Varginha","GAM",,"ND",,,,"GAM",
"30/07/2018",0,"Rio de Janeiro","Santa Cruz",149,"Rola","Antares","GAM",,"ND",,,,"GAM",
"31/07/2018",0,"Rio de Janeiro","Manguinhos",39,"Mandela",,"GAM",,"ND",,,,"GAM",
"01/08/2018",0,"Rio de Janeiro","Paciência",148,,,"Twitter",,"ND",,,,,
"02/08/2018",0,"São Gonçalo","Jardim Catarina",,"Jardim Catarina",,"SAER",,"ND",,,"SAER",,
"02/08/2018",0,"Rio de Janeiro","Parada de Lucas",47,"Avenida Brasil",,"Twitter",,"ND",,,,,
"03/08/2018",0,"Rio de Janeiro","Santa Cruz",149,"Rola","Antares","GAM",,"ND",,,,"GAM",
"03/08/2018",1,"Rio de Janeiro",,"ND",,,"Twitter",,"ND",,,,,
"05/08/2018",0,"Rio de Janeiro","Cidade de Deus",118,,,"GAM",,"ND",,,,"GAM",
"06/08/2018",1,"Rio de Janeiro","Senador Camará",142,"Vila Aliança",,"SAER","Twitter","Mandados","G1","https://g1.globo.com/rj/rio-de-janeiro/noticia/2018/08/06/policia-do-rj-prende-integrantes-de-quadrilha-que-fazia-manutencao-e-vendia-fuzis-para-traficantes.ghtml","SAER;CORE;DESARME",,
"06/08/2018",0,"Rio de Janeiro","Jacarepaguá",115,,,"GAM",,"ND",,,,"GAM",
"06/08/2018",0,"Rio de Janeiro","Cidade de Deus",118,,,"Twitter",,"ND",,,,,
"07/08/2018",0,"Rio de Janeiro","Rocinha",154,,,"GAM",,"ND",,,,"GAM",
"08/08/2018",0,"Rio de Janeiro",,"ND","Estrada Grajaú","Jacarepaguá","GAM",,"ND",,,,"GAM",
"08/08/2018",0,"Niterói","Icarai",,"Morro do Cavalão",,"SAER",,"ND","G1","https://g1.globo.com/rj/rio-de-janeiro/noticia/2018/08/08/policia-civil-e-mp-rj-realizam-operacao-contra-o-trafico-de-drogas-em-niteroi.ghtml","SAER;CORE",,
"08/08/2018",0,"Rio de Janeiro","Santa Cruz",149,"Antares",,"Twitter",,"ND",,,,,
"10/08/2018",0,"Belford Roxo","Guaxa do Redentor",,"Favela da Guaxa","Santa Teresa;Morro Do Machado","SAER",,"ND","O Dia","https://odia.ig.com.br/rio-de-janeiro/2018/08/5565424-policia-civil-faz-operacao-em-comunidades-de-belford-roxo.html#foto=1","SAER;CORE",,
"13/08/2018",0,"Rio de Janeiro",,"ND",,,"Twitter",,"ND",,,,,
"14/08/2018",0,"Rio de Janeiro","Santa Cruz",149,"Antares",,"GAM",,"ND",,,,"GAM",
"14/08/2018",0,"Rio de Janeiro","Vidigal",30,,,"GAM",,"ND",,,,"GAM",
